batch_id,viscosity,particle_size,quality_value,yield_pct,quality_flag
B0607,436.9,17.25,99.73,96.74,OK
B0608,446.4,17.56,100.03,96.74,NG
B0609,431.2,18.53,99.62,96.41,OK
B0610,441.3,18.46,100.56,96.25,OK
B0611,429.1,16.87,99.75,95.71,OK
B0612,435.0,16.78,98.84,96.42,OK
B0613,409.9,18.46,99.17,95.23,NG
B0614,406.5,18.71,98.91,95.09,OK
B0615,454.9,18.69,100.51,97.31,OK
B0616,425.3,18.19,99.73,95.75,OK
B0617,453.9,18.79,99.16,97.12,NG
B0618,443.0,17.83,99.88,96.11,NG
B0619,444.8,18.41,100.21,96.29,OK
B0620,451.4,17.56,100.25,97.46,NG
B0621,447.0,19.07,99.61,95.93,OK
B0622,403.6,17.06,99.88,96.10,OK
B0623,442.0,18.49,99.39,95.48,NG
B0624,445.7,18.62,99.08,96.31,OK
B0625,458.5,19.57,98.84,96.60,OK
B0626,462.3,18.87,98.33,96.53,OK
B0627,436.8,18.47,100.11,96.84,OK
B0628,445.3,18.57,100.16,95.65,OK
B0629,430.3,17.79,100.42,96.92,OK
B0630,448.7,19.17,99.91,96.70,OK
B0631,418.8,18.57,100.06,95.51,OK
B0632,446.7,18.71,99.44,96.43,OK
B0633,455.6,19.78,100.15,95.56,OK
B0634,454.4,18.00,99.40,96.15,OK
B0635,442.2,18.76,99.27,96.55,OK
B0636,435.2,17.89,99.70,95.98,OK
B0637,450.8,17.94,99.52,94.83,OK
B0638,422.2,17.52,100.30,96.70,OK
B0639,441.5,19.01,99.84,95.95,OK
B0640,443.6,18.13,99.91,96.48,NG
B0641,440.7,19.11,99.11,95.30,OK
B0642,437.3,18.55,98.05,94.37,OK
B0643,457.6,18.33,100.37,96.78,OK
B0644,428.1,17.73,100.70,96.82,OK
B0645,450.9,19.23,99.74,95.47,OK
B0646,404.9,16.51,99.99,96.95,OK
B0647,452.3,18.24,99.90,95.03,OK
B0648,430.0,18.12,100.81,95.92,OK
B0649,445.9,17.38,99.31,97.41,OK
B0650,447.3,17.98,98.87,94.75,OK
B0651,430.7,17.70,99.40,95.97,OK
B0652,470.7,19.20,99.40,96.00,OK
B0653,476.2,19.64,99.21,94.88,NG
B0654,446.4,17.23,100.01,96.87,OK
B0655,435.5,17.83,99.55,95.45,OK
B0656,433.5,18.02,99.66,96.00,NG
B0657,445.8,17.76,99.53,96.36,OK
B0658,425.2,19.07,98.96,95.30,OK
B0659,445.8,18.12,100.52,95.43,OK
B0660,426.1,16.96,100.09,96.53,OK
B0661,,17.89,98.90,96.08,OK
B0662,430.3,18.99,99.68,96.47,OK
B0663,435.8,18.06,99.75,96.78,OK
B0664,440.0,18.27,99.80,96.65,OK
B0665,441.3,18.87,99.26,96.68,OK
B0666,440.6,18.21,99.18,96.81,OK
B0667,415.1,17.35,98.48,95.38,NG
B0668,427.2,16.47,100.97,97.09,NG
B0669,459.1,19.34,100.21,96.72,NG
B0670,447.9,18.90,99.53,95.61,OK
B0671,453.0,19.20,100.13,96.48,NG
B0672,427.2,18.37,99.24,95.01,OK
B0673,456.6,19.00,98.53,94.45,OK
B0674,413.6,18.16,99.60,96.76,OK
B0675,424.8,18.67,98.65,95.98,OK
B0676,435.0,19.28,99.84,95.38,OK
B0677,437.6,18.42,98.54,97.20,NG
B0678,451.9,18.24,99.83,96.29,OK
B0679,428.7,17.03,99.36,95.76,NG
B0680,439.6,19.42,99.42,95.82,OK
B0681,473.7,18.62,99.73,95.31,OK
B0682,491.3,19.47,99.74,95.70,NG
B0683,447.1,19.40,99.29,96.88,NG
B0684,441.2,18.10,98.95,96.63,NG
B0685,447.5,17.67,99.18,96.11,OK
B0686,445.5,18.70,99.16,94.37,NG
B0687,446.8,18.14,98.98,96.76,OK
B0688,423.1,18.48,99.57,95.66,OK
B0689,443.9,18.73,99.68,97.29,NG
B0690,439.1,18.89,99.68,95.75,OK
B0691,416.0,17.20,100.09,97.48,OK
B0692,448.4,18.60,100.37,95.76,OK
B0693,435.3,17.18,98.93,96.09,OK
B0694,444.5,17.75,99.54,95.55,OK
B0695,463.4,18.17,98.51,94.98,OK
B0696,461.7,18.37,99.96,96.09,NG
B0697,434.0,17.88,99.49,95.12,OK
B0698,430.2,17.97,98.64,95.50,OK
B0699,444.4,19.50,98.87,94.61,OK
B0700,453.3,18.61,98.75,94.44,NG
B0701,432.1,17.94,99.72,95.68,OK
B0702,441.7,18.31,99.13,95.08,NG
B0703,460.1,19.15,99.26,96.48,OK
B0704,415.6,18.61,99.21,95.74,OK
B0705,435.7,18.33,98.74,95.93,OK
B0706,421.9,17.52,99.03,96.28,OK
B0707,453.7,18.34,99.66,94.99,OK
B0708,419.8,17.99,98.54,94.77,OK
B0709,423.3,17.90,98.95,97.16,OK
B0710,439.9,18.43,100.28,96.65,NG
B0711,449.1,19.05,98.76,95.33,OK
B0712,437.3,17.98,98.69,95.23,OK
B0713,435.3,18.28,99.90,95.90,OK
B0714,466.0,17.63,98.76,94.57,OK
B0715,447.4,19.56,99.36,95.08,OK
B0716,454.8,18.45,99.61,96.33,OK
B0717,434.9,17.85,98.95,95.93,NG
B0718,439.7,18.33,99.30,95.70,OK
B0719,441.7,17.82,99.79,96.46,OK
B0720,448.4,19.36,97.42,95.60,OK
B0721,416.7,17.32,99.28,96.28,OK
B0722,469.9,18.50,98.72,95.09,OK
B0723,460.4,18.86,98.00,95.02,NG
B0724,471.8,18.62,99.55,95.49,OK
B0725,448.8,18.35,100.28,96.71,OK
B0726,476.2,19.52,98.35,94.38,OK
B0727,,17.81,100.11,95.55,NG
B0728,439.7,17.89,99.07,94.88,OK
B0729,438.9,18.29,99.33,96.01,OK
B0730,437.3,18.29,99.45,95.19,OK
B0731,448.9,18.47,99.60,97.05,OK
B0732,454.1,18.41,98.74,93.88,NG
B0733,454.1,19.51,100.90,95.32,OK
B0734,454.7,18.27,97.94,94.58,OK
B0735,425.8,16.42,99.70,95.47,OK
B0736,465.6,18.75,99.16,96.27,OK
B0737,451.7,19.13,98.77,96.49,OK
B0738,449.0,18.60,100.36,94.84,OK
B0739,445.5,18.98,99.71,93.59,NG
B0740,456.7,18.52,99.28,96.14,OK
B0741,434.4,18.64,99.89,96.66,OK
B0742,414.7,18.88,100.02,96.14,NG
B0743,446.0,18.11,98.70,95.32,OK
B0744,418.0,17.90,99.72,96.24,OK
B0745,439.2,19.57,99.71,95.52,NG
B0746,430.1,17.52,99.93,96.19,OK
B0747,452.4,19.14,98.44,94.62,OK
B0748,442.0,18.40,99.50,95.78,NG
B0749,463.2,18.79,99.60,96.18,NG
B0750,438.8,17.91,100.47,97.48,OK
B0751,461.8,18.51,97.74,95.77,OK
B0752,442.0,17.64,100.03,95.91,NG
B0753,439.2,17.88,98.86,95.75,OK
B0754,440.6,18.28,99.45,95.36,NG
B0755,460.5,18.32,99.21,96.26,NG
B0756,443.0,19.17,99.05,96.07,NG
B0757,470.7,19.55,99.31,96.28,NG
B0758,445.3,20.23,98.38,96.01,NG
B0759,458.4,18.98,99.48,95.85,OK
B0760,443.6,19.77,98.72,94.81,OK
B0761,460.3,17.55,99.78,95.98,OK
B0762,404.5,17.03,99.50,95.63,OK
B0763,474.0,18.92,98.63,94.94,OK
B0764,447.3,19.10,99.61,96.11,OK
B0765,444.5,18.54,99.19,96.85,OK
B0766,454.6,17.90,99.74,95.31,OK
B0767,445.4,20.26,98.65,94.60,NG
B0768,436.2,16.95,100.29,97.01,OK
B0769,470.2,18.97,99.03,95.09,OK
B0770,449.4,19.12,98.52,93.84,NG
B0771,472.8,19.27,97.82,94.50,NG
B0772,456.1,19.64,96.22,93.21,NG
B0773,450.3,17.71,99.33,94.84,OK
B0774,468.3,18.58,98.70,95.12,NG
B0775,439.5,18.21,100.81,95.42,NG
B0776,441.8,18.60,99.88,93.92,NG
B0777,452.7,19.67,98.12,95.98,OK
B0778,448.5,18.71,99.40,94.23,NG
B0779,467.0,18.56,98.65,94.87,OK
B0780,442.4,17.82,99.78,96.54,NG
B0781,454.5,19.28,99.45,95.16,NG
B0782,482.2,19.47,99.32,96.15,OK
B0783,453.6,19.25,99.78,95.94,OK
B0784,413.7,17.00,98.83,95.13,OK
B0785,437.7,18.85,99.47,96.19,OK
B0786,449.5,19.03,99.63,95.49,OK
B0787,451.2,19.80,98.98,95.56,OK
B0788,467.7,19.33,98.14,94.97,OK
B0789,488.5,18.76,98.70,93.94,NG
B0790,458.5,18.26,100.39,96.60,OK
B0791,444.5,17.38,99.96,95.92,OK
B0792,420.9,18.14,98.82,94.00,NG
B0793,458.4,18.16,98.85,94.91,NG
B0794,427.2,17.43,99.47,97.36,OK
B0795,454.8,19.26,99.60,95.52,OK
B0796,446.5,18.53,99.64,95.75,OK
B0797,469.9,19.32,99.61,95.44,NG
B0798,454.3,19.47,99.59,95.94,NG
B0799,455.7,18.83,98.81,95.59,OK
B0800,469.8,17.57,99.05,95.22,NG
