batch_id,temperature,pressure,feed_rate,reaction_time,vacuum,energy_kwh_per_ton
B0499,181.12,2.262,92.18,62.66,0.841,242.06
B0500,178.28,2.274,107.58,56.66,0.821,229.38
B0501,180.21,2.234,99.86,59.06,0.854,234.51
B0502,181.91,2.326,100.70,64.96,0.825,244.85
B0503,179.24,2.234,100.18,59.64,0.822,231.15
B0504,178.58,2.250,92.14,58.56,0.834,238.79
B0505,183.06,2.466,98.46,60.25,0.863,226.17
B0506,179.43,2.328,94.20,59.73,0.810,244.27
B0507,180.62,2.395,95.81,60.63,0.788,239.02
B0508,177.80,2.302,103.13,57.98,0.826,237.92
B0509,178.18,2.283,99.74,59.34,0.912,236.54
B0510,179.22,2.195,94.72,61.92,0.809,233.60
B0511,178.05,2.366,94.43,59.00,0.788,234.25
B0512,181.06,2.168,99.46,58.99,0.820,246.39
B0513,181.20,2.385,95.75,60.32,0.806,235.34
B0514,179.53,2.369,103.19,56.76,0.863,238.64
B0515,180.18,2.271,97.02,65.43,0.783,232.72
B0516,181.78,2.195,105.67,64.43,0.833,257.02
B0517,180.60,2.436,99.63,59.56,0.842,250.32
B0518,179.83,2.326,104.02,59.50,0.861,241.51
B0519,182.12,2.257,94.99,60.58,0.811,243.20
B0520,177.84,2.217,98.02,62.23,0.835,238.16
B0521,183.88,2.304,100.75,60.80,0.804,243.20
B0522,178.29,2.185,93.61,65.59,0.856,248.49
B0523,177.47,2.146,102.60,55.30,0.801,228.24
B0524,184.36,2.394,99.40,62.91,0.841,243.27
B0525,183.68,2.348,100.24,66.67,0.850,243.52
B0526,183.68,2.352,97.93,64.86,0.823,250.58
B0527,179.37,2.334,96.95,66.14,0.836,240.05
B0528,178.61,2.257,95.20,58.19,0.842,236.26
B0529,177.61,2.185,107.01,54.17,0.823,231.48
B0530,179.49,2.384,94.69,61.57,0.837,238.57
B0531,182.98,2.387,98.81,60.26,0.832,243.59
B0532,181.15,2.314,102.17,58.83,0.798,232.63
B0533,179.64,2.407,101.66,59.72,0.823,239.06
B0534,174.91,2.357,91.27,60.96,0.800,240.21
B0535,179.56,2.229,99.77,59.91,0.866,244.15
B0536,,2.521,98.97,58.94,0.869,238.78
B0537,184.73,2.346,106.19,57.73,0.790,232.17
B0538,178.95,2.147,95.37,61.67,0.846,245.45
B0539,181.49,2.425,98.36,59.85,0.782,235.65
B0540,182.58,2.263,92.22,69.87,0.843,253.32
B0541,178.03,2.190,103.01,61.26,0.749,231.69
B0542,181.34,2.311,106.96,58.53,0.791,242.30
B0543,183.02,2.512,89.50,65.98,0.845,245.38
B0544,175.35,2.225,93.10,60.62,0.769,244.20
B0545,183.80,2.364,90.65,64.90,0.855,248.40
B0546,181.07,2.329,95.67,64.05,0.865,232.43
B0547,181.22,2.345,97.64,63.51,0.887,249.79
B0548,179.02,2.220,103.50,59.88,0.790,237.64
B0549,179.24,2.231,104.68,54.76,0.828,238.18
B0550,181.50,2.439,103.23,62.74,0.877,241.99
B0551,181.70,2.390,111.67,54.52,,236.13
B0552,180.31,2.386,96.41,64.45,0.826,248.62
B0553,182.55,2.356,100.28,56.09,0.839,246.36
B0554,185.29,2.450,103.14,57.74,0.885,243.81
B0555,178.14,2.298,95.66,58.15,0.835,241.57
B0556,177.64,2.224,92.08,63.38,0.870,243.03
B0557,180.78,2.349,100.02,59.12,0.819,238.76
B0558,177.54,2.450,102.28,61.94,0.793,246.64
B0559,175.39,2.078,103.06,60.12,0.834,246.93
B0560,180.01,2.115,101.11,63.34,0.789,243.20
B0561,179.84,2.335,95.99,64.23,0.812,249.67
B0562,180.88,2.181,101.33,63.16,0.804,238.40
B0563,181.75,2.424,103.05,60.09,0.782,233.49
B0564,183.89,2.424,107.38,61.30,0.871,256.82
B0565,176.44,2.113,99.01,61.03,0.807,239.15
B0566,182.54,2.329,108.79,61.41,0.821,238.17
B0567,181.48,2.275,103.83,61.03,0.843,247.16
B0568,181.23,2.338,95.78,65.61,0.820,254.93
B0569,180.09,2.365,101.18,55.32,0.823,242.82
B0570,181.25,2.247,102.39,65.51,0.777,256.87
B0571,178.90,2.305,102.51,56.96,0.793,237.93
B0572,182.99,2.268,104.59,65.44,0.853,246.54
B0573,183.01,2.390,95.54,59.31,0.837,244.51
B0574,176.42,2.422,96.03,62.54,0.805,242.61
B0575,178.61,2.157,103.08,56.91,0.862,232.24
B0576,175.80,2.301,99.53,61.01,0.812,237.67
B0577,177.45,2.307,100.41,61.61,0.786,241.80
B0578,180.57,2.312,96.07,57.85,0.828,239.85
B0579,179.43,2.293,101.29,59.89,0.870,244.22
B0580,179.45,2.409,99.37,60.37,0.807,228.70
B0581,182.45,2.250,100.48,62.20,0.844,249.84
B0582,178.68,2.226,102.83,61.30,0.836,239.53
B0583,184.21,2.297,98.54,63.69,0.805,251.64
B0584,177.29,2.313,98.83,61.21,0.807,238.13
B0585,177.62,2.215,103.14,57.21,0.779,227.53
B0586,181.30,2.265,97.21,63.30,0.794,237.36
B0587,180.30,2.292,100.79,60.28,0.816,235.64
B0588,182.83,2.289,99.19,52.69,0.760,236.74
B0589,180.37,2.295,104.01,60.57,0.750,240.46
B0590,179.12,2.250,104.47,63.53,0.849,241.99
B0591,175.93,2.205,100.41,60.73,0.824,234.80
B0592,177.96,2.354,98.62,58.61,0.821,240.07
B0593,182.62,2.264,100.02,55.42,0.835,250.01
B0594,180.08,2.313,93.88,64.37,0.826,241.03
B0595,181.22,2.189,99.65,66.37,0.847,254.46
B0596,179.10,2.397,103.32,58.72,0.775,240.32
B0597,178.72,2.289,101.39,64.70,0.805,258.17
B0598,177.86,2.249,97.78,65.86,0.803,249.74
B0599,181.95,2.422,99.28,64.37,0.844,250.95
B0600,180.68,2.288,104.19,56.50,0.829,240.16
B0601,180.02,2.163,97.69,64.82,0.819,239.22
B0602,179.62,2.337,102.89,63.94,0.765,251.27
B0603,178.18,2.305,104.35,60.99,0.768,239.61
B0604,179.09,2.324,101.16,63.23,0.897,251.34
B0605,178.96,2.193,100.85,64.74,0.775,255.18
B0606,182.26,2.299,107.06,60.42,0.850,246.97
B0607,179.30,2.277,101.34,61.40,0.832,238.62
B0608,178.34,2.239,107.06,58.50,0.834,233.31
B0609,177.47,2.303,99.92,57.92,0.807,245.79
B0610,178.91,2.275,105.72,62.01,0.826,235.78
B0611,183.03,2.430,98.30,61.09,0.830,252.18
B0612,177.94,2.268,104.83,59.94,0.699,229.50
B0613,184.80,2.309,101.99,62.58,0.800,252.95
B0614,183.40,2.517,103.42,60.26,0.839,248.39
B0615,180.13,2.287,106.45,64.09,0.871,246.88
B0616,183.10,2.438,96.49,62.98,0.774,248.93
B0617,179.84,2.319,98.40,60.65,0.844,239.35
B0618,181.24,2.439,95.00,61.29,0.781,246.23
B0619,180.06,2.253,97.43,63.63,0.799,256.98
B0620,179.34,2.337,94.43,58.83,0.800,237.81
B0621,179.46,2.275,102.94,62.23,0.823,247.73
B0622,183.43,2.247,103.04,55.14,0.847,248.66
B0623,177.49,2.208,98.45,64.70,0.785,251.03
B0624,180.35,2.235,93.03,68.22,0.861,247.11
B0625,181.21,2.391,97.36,65.96,0.783,240.15
B0626,178.55,2.296,98.22,67.71,0.785,248.70
B0627,181.03,2.306,100.20,58.49,0.774,245.67
B0628,182.13,2.445,100.12,62.78,0.850,245.00
B0629,179.51,2.298,102.09,61.69,0.827,239.46
B0630,180.55,2.251,97.51,64.79,0.778,245.91
B0631,180.89,2.354,98.34,60.64,0.832,253.75
B0632,178.56,2.316,100.33,62.50,0.822,250.46
B0633,179.10,2.369,100.59,67.07,0.774,258.76
B0634,179.04,2.216,98.96,65.16,0.831,246.75
B0635,179.79,2.422,99.56,64.45,0.854,245.05
B0636,177.22,2.214,98.33,63.06,0.842,241.85
B0637,181.42,2.433,101.26,65.76,0.771,252.49
B0638,180.15,2.308,98.99,61.27,0.831,247.55
B0639,182.06,2.274,102.35,63.76,0.814,243.37
B0640,179.06,2.239,101.45,62.19,0.816,245.99
B0641,182.45,2.351,100.91,62.40,0.831,251.21
B0642,185.30,2.377,98.80,60.21,0.812,245.77
B0643,177.45,2.215,99.00,62.99,0.831,246.23
B0644,179.20,2.331,104.08,58.69,0.849,237.67
B0645,178.93,2.246,102.07,62.58,0.774,254.60
B0646,180.27,2.377,106.57,57.19,0.825,256.42
B0647,179.33,2.207,100.34,62.95,0.803,245.84
B0648,181.22,2.290,107.89,59.31,0.833,235.57
B0649,177.26,2.371,103.36,59.29,0.778,238.13
B0650,182.50,2.257,97.83,67.00,0.784,249.61
B0651,181.78,2.321,96.69,63.06,0.861,257.76
B0652,179.48,2.237,99.36,64.52,0.781,249.73
B0653,180.37,2.344,101.40,67.41,0.786,256.28
B0654,176.25,2.228,102.91,59.47,0.835,238.13
B0655,177.27,2.182,106.76,57.56,0.782,236.68
B0656,180.23,2.150,95.87,63.74,0.821,253.25
B0657,179.53,2.229,104.84,62.76,0.818,262.93
B0658,182.96,2.373,98.70,61.27,0.858,252.19
B0659,182.20,2.218,99.83,63.18,0.799,251.34
B0660,181.24,2.386,106.40,56.90,0.779,246.49
B0661,175.69,2.281,105.74,61.18,,244.62
B0662,182.94,2.417,100.00,58.33,0.839,241.78
B0663,178.19,2.213,101.53,60.19,0.820,238.96
B0664,180.76,2.332,108.27,59.61,0.810,246.09
B0665,178.61,2.339,102.25,63.57,0.822,250.70
B0666,182.72,2.303,101.38,61.67,0.745,247.41
B0667,175.20,2.228,103.62,58.09,0.788,228.07
B0668,180.27,2.374,100.87,59.95,0.825,240.50
B0669,180.47,2.217,104.15,62.37,0.804,251.61
B0670,182.03,2.403,98.85,63.44,0.830,251.07
B0671,180.13,2.413,98.37,61.27,0.837,249.80
B0672,183.44,2.388,92.40,64.35,0.822,258.93
B0673,181.71,2.366,98.45,69.30,0.802,255.86
B0674,182.89,2.444,104.14,58.64,0.830,252.52
B0675,181.97,2.399,107.32,58.81,0.771,261.16
B0676,180.62,2.236,98.15,63.72,0.817,256.69
B0677,178.82,2.177,102.24,62.11,0.852,244.25
B0678,,2.364,104.14,63.04,0.869,254.64
B0679,179.35,2.196,96.63,65.34,0.792,254.70
B0680,177.78,2.215,99.87,63.45,0.789,234.57
B0681,177.78,2.344,98.99,64.13,0.896,254.16
B0682,177.29,2.181,100.70,67.28,0.779,252.14
B0683,183.33,2.208,97.11,63.01,0.859,248.12
B0684,177.60,2.147,99.31,60.41,0.774,241.79
B0685,176.93,2.211,101.27,60.46,0.860,243.22
B0686,181.44,2.481,103.74,66.61,0.854,248.11
B0687,178.07,2.369,103.68,65.21,0.839,243.76
B0688,182.63,2.295,106.56,60.27,0.806,247.99
B0689,182.32,2.238,102.20,57.98,0.782,241.60
B0690,182.31,2.294,99.43,63.48,0.842,257.87
B0691,179.17,2.261,108.62,59.96,0.831,240.55
B0692,178.15,2.264,95.69,67.34,0.856,247.52
B0693,179.03,2.489,106.44,56.25,0.876,247.95
B0694,180.91,2.371,100.02,60.81,0.822,256.24
B0695,179.60,2.228,99.99,68.39,0.872,256.54
B0696,180.73,2.236,102.81,64.96,0.849,253.38
B0697,181.86,2.350,102.18,63.81,0.828,254.02
B0698,185.16,2.336,98.05,63.11,0.851,251.27
B0699,182.39,2.446,99.99,67.56,0.779,264.57
B0700,175.56,2.242,99.39,68.12,0.859,261.98
B0701,183.04,2.326,106.27,61.92,0.823,253.44
B0702,184.49,2.394,98.97,65.23,0.811,246.99
B0703,180.19,2.406,101.90,65.96,0.762,255.48
B0704,179.90,2.326,97.19,64.81,0.849,260.34
B0705,176.89,2.194,100.38,62.37,0.813,251.98
B0706,180.22,2.354,96.19,60.90,0.774,245.87
B0707,176.77,2.240,93.61,64.67,0.842,243.27
B0708,181.45,2.311,97.40,66.68,0.875,260.07
B0709,177.62,2.217,97.67,58.95,0.843,240.48
B0710,182.22,2.134,104.60,60.00,0.856,245.22
B0711,182.05,2.424,101.74,61.10,0.868,253.02
B0712,183.61,2.283,102.15,60.20,0.848,250.67
B0713,182.13,2.409,93.01,63.44,0.809,254.87
B0714,178.91,2.352,94.74,68.20,0.795,241.62
B0715,180.05,2.350,91.62,69.81,0.864,251.53
B0716,180.04,2.209,95.64,67.29,0.808,257.98
B0717,182.45,2.470,106.81,56.97,0.829,246.20
B0718,179.17,2.162,102.12,65.24,0.782,257.91
B0719,176.29,2.210,103.87,59.81,0.788,244.37
B0720,177.05,2.210,97.65,68.31,0.839,248.41
B0721,182.38,2.310,105.00,58.14,0.815,247.66
B0722,179.73,2.333,100.57,66.23,0.842,262.92
B0723,180.88,2.449,95.92,70.81,0.821,255.89
B0724,178.68,2.248,99.72,68.25,0.812,249.74
B0725,179.62,2.412,98.28,62.28,0.854,255.45
B0726,182.12,2.394,95.94,67.06,0.840,273.39
B0727,176.73,2.080,98.35,63.85,0.800,251.22
B0728,181.09,2.286,99.94,64.45,0.805,266.96
B0729,178.90,2.938,102.75,65.20,,246.89
B0730,183.40,2.441,100.41,65.43,0.867,252.12
B0731,179.41,2.166,97.65,63.75,0.822,245.36
B0732,184.83,2.420,93.80,67.04,0.796,255.65
B0733,183.14,2.352,103.68,64.35,0.857,250.46
B0734,177.51,2.265,94.62,69.24,0.837,255.60
B0735,180.80,2.395,96.90,63.91,0.830,257.92
B0736,180.94,2.285,96.13,67.61,0.797,259.90
B0737,179.78,2.295,96.96,67.02,0.738,262.53
B0738,179.10,2.310,102.47,65.18,0.788,259.54
B0739,184.76,2.307,91.32,64.68,0.863,267.05
B0740,181.42,2.460,101.87,63.65,0.783,257.24
B0741,180.60,2.256,98.60,64.19,0.810,251.18
B0742,180.31,2.295,97.28,62.48,0.798,258.50
B0743,182.72,2.250,97.17,66.50,0.817,264.82
B0744,181.49,2.248,105.36,63.27,0.833,248.48
B0745,181.47,2.436,101.41,63.62,0.860,258.33
B0746,180.50,2.315,99.38,60.61,0.808,249.93
B0747,183.12,2.325,93.36,66.30,0.881,257.09
B0748,181.13,2.546,93.56,65.14,0.859,250.00
B0749,180.84,2.278,94.88,65.10,0.806,262.28
B0750,180.10,2.998,96.02,62.70,0.827,238.75
B0751,181.66,2.373,100.73,71.16,0.776,258.84
B0752,179.51,2.276,103.31,65.28,0.838,243.99
B0753,179.54,2.239,96.54,60.12,0.773,254.97
B0754,178.56,2.343,103.65,63.13,0.804,252.47
B0755,179.37,2.382,101.96,68.38,0.819,250.56
B0756,180.31,2.157,95.76,65.92,0.792,249.32
B0757,180.60,2.268,99.99,66.20,0.784,251.23
B0758,179.11,2.266,96.57,69.55,0.872,254.18
B0759,182.42,2.315,94.59,62.89,0.765,255.84
B0760,178.30,2.245,95.64,68.11,0.855,262.52
B0761,180.56,2.292,102.23,64.88,0.855,246.78
B0762,181.65,2.283,103.65,56.75,0.812,250.10
B0763,181.58,2.335,99.71,64.86,0.831,265.96
B0764,176.11,2.421,106.69,62.21,0.723,252.47
B0765,181.68,2.527,98.63,62.34,0.851,244.53
B0766,179.23,2.355,101.15,64.50,0.836,260.43
B0767,180.80,2.366,92.20,65.22,0.791,262.20
B0768,179.95,2.347,99.13,63.01,0.792,250.68
B0769,179.04,2.235,99.14,68.18,0.821,252.12
B0770,182.71,2.494,97.90,67.06,0.830,271.76
B0771,176.61,2.250,98.23,69.31,0.808,249.56
B0772,182.14,2.290,90.81,72.54,0.847,260.48
B0773,179.65,2.312,99.78,66.42,0.887,257.17
B0774,179.45,2.341,97.29,67.87,0.825,266.10
B0775,180.23,2.370,96.59,65.47,0.835,254.91
B0776,184.28,2.320,104.62,65.16,0.787,267.01
B0777,181.15,2.339,99.45,66.44,0.772,250.71
B0778,178.44,2.413,101.94,66.75,0.827,262.04
B0779,174.23,2.172,99.11,62.50,0.764,257.49
B0780,180.96,2.312,104.80,62.05,0.807,249.27
B0781,178.48,2.246,103.08,64.71,0.791,255.14
B0782,176.85,2.150,98.52,64.31,0.876,244.54
B0783,180.66,2.220,104.55,65.05,0.825,252.57
B0784,183.43,2.346,101.20,56.69,0.867,252.84
B0785,179.65,2.308,100.72,61.93,0.858,245.75
B0786,181.08,2.436,103.37,64.14,0.855,250.09
B0787,179.56,2.325,91.23,66.48,0.817,268.55
B0788,181.36,2.359,96.92,65.93,0.860,263.50
B0789,176.96,2.265,92.68,68.25,0.812,255.73
B0790,180.97,2.375,97.23,63.64,0.772,254.05
B0791,179.62,2.279,99.38,65.76,0.779,259.32
B0792,182.97,2.325,99.98,65.42,0.824,268.36
B0793,181.35,2.272,104.64,62.60,0.888,245.21
B0794,179.57,2.444,95.25,61.80,0.813,248.06
B0795,181.71,2.275,97.57,68.85,0.751,250.51
B0796,181.85,2.314,103.57,58.74,0.843,257.39
B0797,178.12,2.251,93.69,65.77,0.874,259.88
B0798,180.18,2.321,102.51,65.38,0.900,261.96
B0799,180.02,2.304,98.93,67.32,0.736,262.29
B0800,178.78,2.291,99.77,67.91,0.885,263.49
